MSR_Id;Lane;Direction;Latitude;Longitude;Name;Canton;Direction;Street 
CH:0105.01;lane1;negative;47.2110023;8.5436821;BAAR N (AB);ZG;SIHLBRUGG           ;A 14
CH:0105.02;lane2;negative;47.2109718;8.54367638;BAAR N (AB);ZG;SIHLBRUGG           ;A 14
CH:0566.06;lane1;positive;47.3420601;8.45755482;DREIECK ZUERICH-WEST 1 (AB) - ZH1202;ZH;BASEL;A 4
CH:0100.02;lane1;negative;46.2095261;9.02930164;CIRCONVAL. BELLINZONA (AS);TI;VERZW. A2/A13;A 2
CH:0100.03;lane2;negative;46.2094994;9.02931595;CIRCONVAL. BELLINZONA (AS);TI;VERZW. A2/A13;A 2
CH:0083.02;lane2;positive;46.3831024;6.92475986;VILLENEUVE (AR);VD;MARTIGNY            ;A 9
CH:0107.03;lane2;negative;46.8759003;7.2757144;WUENNEWIL (AB);FR;DUEDINGEN           ;A 12
CH:0107.04;lane1;negative;46.8759384;7.27569199;WUENNEWIL (AB);FR;DUEDINGEN           ;A 12
CH:0083.01;lane1;positive;46.3831139;6.92471933;VILLENEUVE (AR);VD;MARTIGNY            ;A 9
CH:0110.02;lane1;negative;46.2515259;8.03923702;SIMPLON, JOSEFGALERIE S;VS;BRIG                ;A 9
CH:0111.01;lane1;negative;46.5427094;7.6662879;FRUTIGEN S, KANDERGRUND;BE;FRUTIGEN            ;H 223
CH:0110.01;lane1;positive;46.2515602;8.03921223;SIMPLON, JOSEFGALERIE S;VS;GONDO               ;A 9
CH:0348.03;lane1;positive;47.5451584;7.80114937;RHEINFELDEN (AB) - AG1427;AG;ZUERICH;A 3
CH:0348.04;lane2;positive;47.5451889;7.80114317;RHEINFELDEN (AB) - AG1427;AG;ZUERICH;A 3
CH:0112.03;lane2;negative;47.0210037;7.03112411;PONT DE THIELLE;NE;NEUCHATEL           ;H 10
CH:0112.04;lane1;negative;47.0210342;7.03112411;PONT DE THIELLE;NE;NEUCHATEL           ;H 10
CH:0543.01;lane3;positive;47.4301453;8.36466694;SPREITENBACH AUSFAHRT (AB) - AG1445;AG;ZUERICH;A 1
CH:0748.02;lane1;positive;46.6034775;7.37413931;WEISSENBACH;BE;ZWEISIMMEN;H 11
CH:0240.02;lane1;positive;47.4239693;8.57156849;UMF. ZUERICH N, SEEBACH (AB);ZH;VERZW. A20/A51;A 1C
CH:0214.04;lane1;negative;46.9514122;7.38426447;BERN, BRUENNENTUNNEL (AB);BE;KERZERS;A 1
CH:0214.03;lane2;negative;46.9514008;7.38430834;BERN, BRUENNENTUNNEL (AB);BE;KERZERS;A 1
CH:0335.02;lane1;positive;47.3049812;7.92485666;WIGGERTAL (AB) - AG1411;AG;ZUERICH;A 1
CH:0335.03;lane2;positive;47.3050117;7.92483521;WIGGERTAL (AB) - AG1411;AG;ZUERICH;A 1
CH:0342.03;lane1;positive;47.4226303;8.38873196;DIETIKON (AB) - AG1400;AG;ZUERICH;A 1
CH:0100.04;lane3;negative;46.209465;9.02933025;CIRCONVAL. BELLINZONA (AS);TI;VERZW. A2/A13;A 2
CH:0100.05;lane3;positive;46.2093925;9.02936745;CIRCONVAL. BELLINZONA (AS);TI;LUGANO              ;A 2
CH:0100.06;lane2;positive;46.2093658;9.0293808;CIRCONVAL. BELLINZONA (AS);TI;LUGANO              ;A 2
CH:0240.03;lane1;positive;47.4240379;8.57154465;UMF. ZUERICH N, SEEBACH (AB);ZH;VERZW. A20/A51;A 1C
CH:0240.04;lane2;positive;47.4240723;8.57156086;UMF. ZUERICH N, SEEBACH (AB);ZH;VERZW. A20/A51;A 1C
CH:0567.03;lane2;positive;47.3407059;8.45846558;DREIECK ZUERICH-WEST 2 (AB) - ZH1203;ZH;ZUERICH / CHUR;A 4
CH:0567.04;lane1;positive;47.3407249;8.4585104;DREIECK ZUERICH-WEST 2 (AB) - ZH1203;ZH;ZUERICH / CHUR;A 4
CH:0219.01;lane1;positive;47.4559479;8.14368248;SCHINZNACH DORF (AB);AG;VERZW. A3/A1;A 3
CH:0116.03;lane2;negative;46.5018997;6.71516895;GRANDVAUX N (AR);VD;LAUSANNE-VENNES     ;A 9
CH:0116.04;lane1;negative;46.5019226;6.71519852;GRANDVAUX N (AR);VD;LAUSANNE-VENNES     ;A 9
CH:0117.01;lane1;negative;47.1735229;8.43195343;HUENENBERG S (AB);ZG;CHAM                ;A 4
CH:0117.02;lane2;negative;47.1735191;8.43198204;HUENENBERG S (AB);ZG;CHAM                ;A 4
CH:0117.03;lane3;negative;47.1735077;8.43204308;HUENENBERG S (AB);ZG;CHAM                ;A 4
CH:0850.03;lane1;positive;47.691288;8.62623215;CHOLFIRST NORD;ZH;WINTERTHUR;A 4
CH:0219.02;lane2;positive;47.4559898;8.14368248;SCHINZNACH DORF (AB);AG;VERZW. A3/A1;A 3
CH:0342.01;lane3;positive;47.4226952;8.38875008;DIETIKON (AB) - AG1400;AG;ZUERICH;A 1
CH:0342.02;lane2;positive;47.4226646;8.38874149;DIETIKON (AB) - AG1400;AG;ZUERICH;A 1
CH:0093.05;lane1;negative;47.5178261;8.69492054;UMF. WINTERTHUR (AB);ZH;WUELFLINGEN;A 1
CH:0131.02;lane1;positive;46.8280792;9.4042263;TAMINS;GR;ILANZ;H 19
CH:0093.04;lane2;negative;47.517807;8.69496632;UMF. WINTERTHUR (AB);ZH;WUELFLINGEN;A 1
CH:0708.01;lane1;positive;46.9156113;9.76004219;KUEBLIS;GR;DAVOS;A 28
CH:0339.02;lane2;positive;47.4571037;8.27614212;BADEN-WEST (AB) - AG1573;AG;ZUERICH;A 1
CH:0339.03;lane1;positive;47.4571342;8.27612495;BADEN-WEST (AB) - AG1573;AG;ZUERICH;A 1
CH:0321.02;lane1;positive;47.5722198;7.5987587;BASEL, ANSCHLUSS WIESE, A3 (AB);BS;BASEL;A 3
CH:0119.01;lane1;negative;46.6612396;7.55763912;ERLENBACH I.S.;BE;SPIEZ               ;H 11
CH:0321.03;lane2;positive;47.5722122;7.59870434;BASEL, ANSCHLUSS WIESE, A3 (AB);BS;BASEL;A 3
CH:0120.01;lane1;negative;46.9451828;8.62071514;SISIKON S;UR;BRUNNEN             ;A 4
CH:0006.03;lane2;positive;47.5379066;7.62449598;MUTTENZ, A2/ZUBR. SCHAENZLI;BL;DELEMONT;H 18
CH:0006.04;lane1;positive;47.537899;7.62455034;MUTTENZ, A2/ZUBR. SCHAENZLI;BL;DELEMONT;H 18
CH:0100.07;lane1;positive;46.2093391;9.02939415;CIRCONVAL. BELLINZONA (AS);TI;LUGANO              ;A 2
CH:0121.03;lane2;negative;46.9632301;6.86738586;COLOMBIER, AREUSE (AR);NE;YVERDON;A 5
CH:0121.04;lane1;negative;46.963253;6.86735058;COLOMBIER, AREUSE (AR);NE;YVERDON;A 5
CH:0346.02;lane1;positive;47.5398712;7.75665522;RHEINFELDEN (AB) - AG1425;AG;VERZW. A3/A1;A 3
CH:0346.03;lane2;positive;47.5399017;7.75663328;RHEINFELDEN (AB) - AG1425;AG;VERZW. A3/A1;A 3
CH:0122.03;lane2;negative;47.5542107;8.83944035;FRAUENFELD W, KEFIKON (AB);TG;WINTERTHUR;A 7
CH:0122.04;lane1;negative;47.5542412;8.8394289;FRAUENFELD W, KEFIKON (AB);TG;WINTERTHUR;A 7
CH:0123.01;lane1;negative;47.7138481;8.64948368;SCHAFFHAUSEN N (AB);SH;DEUTSCHLAND         ;A 4
CH:0123.02;lane1;;47.713726;8.64976501;SCHAFFHAUSEN N (AB);SH;DEUTSCHLAND         ;A 4
CH:0123.04;lane1;;47.7138634;8.65017319;SCHAFFHAUSEN N (AB);SH;DEUTSCHLAND         ;A 4
CH:0115.01;lane1;negative;47.0602303;8.28798389;LUZERN, REUSSPORTTUNNEL (AB);LU;EMMENBRUECKE        ;A 2
CH:0125.01;lane1;negative;47.5368767;8.24529552;WUERENLINGEN;AG;KOBLENZ;H 5
CH:0571.04;lane1;positive;47.3339958;8.45918655;ISLISBERG, ISLISBERGTUNNEL N (AB) - ZH2101;ZH;LUZERN;A 4
CH:0115.02;lane2;negative;47.0602417;8.28802013;LUZERN, REUSSPORTTUNNEL (AB);LU;EMMENBRUECKE        ;A 2
CH:0115.03;lane3;negative;47.0602531;8.28805542;LUZERN, REUSSPORTTUNNEL (AB);LU;EMMENBRUECKE        ;A 2
CH:0571.03;lane2;positive;47.3340149;8.45912838;ISLISBERG, ISLISBERGTUNNEL N (AB) - ZH2101;ZH;LUZERN;A 4
CH:0059.02;lane2;positive;46.9974823;6.95201683;TRAV. DE NEUCHATEL E (AR);NE;ST-BLAISE           ;A 5
CH:0059.01;lane1;positive;46.9974365;6.95200205;TRAV. DE NEUCHATEL E (AR);NE;ST-BLAISE           ;A 5
CH:0127.02;lane2;negative;46.7430305;6.52358913;ORBE N (AR);VD;VALLORBE            ;A 9
CH:0127.03;lane1;negative;46.7430573;6.52357674;ORBE N (AR);VD;VALLORBE            ;A 9
CH:0131.01;lane1;negative;46.8281059;9.40422058;TAMINS;GR;REICHENAU;H 19
CH:0605.06;lane1;positive;47.408287;9.3079443;ST.GALLEN, ANSCHL. BREITFELD;SG;KANTONSSTR. GOSSAU ST.GALLEN;A1
CH:0212.02;lane1;positive;47.0637627;6.88605118;VUE-DES-ALPES (TUNNEL);NE;NEUCHATEL;H 20
CH:0132.02;lane1;negative;46.9727364;9.60481453;PARDISLA, CHLUSTUNNEL;GR;LANDQUART           ;A 28
CH:0115.04;lane3;positive;47.0602837;8.28816414;LUZERN, REUSSPORTTUNNEL (AB);LU;LUZERN              ;A 2
CH:0133.02;lane1;negative;46.7885818;10.2703562;SCHULS W;GR;ZERNEZ              ;H 27
CH:0135.01;lane1;negative;47.5081329;9.40539265;ARBON, A1/ZUBRINGER TG;TG;STEINELOO           ;A 23
CH:0115.05;lane2;positive;47.0603027;8.28820229;LUZERN, REUSSPORTTUNNEL (AB);LU;LUZERN              ;A 2
CH:0115.06;lane1;positive;47.0603104;8.28822994;LUZERN, REUSSPORTTUNNEL (AB);LU;LUZERN              ;A 2
CH:0126.01;lane1;negative;47.0397263;8.29346657;LUZERN, SONNENBERGTUNNEL (AB);LU;EMMEN               ;A 2
CH:0126.02;lane2;negative;47.0397339;8.29349709;LUZERN, SONNENBERGTUNNEL (AB);LU;EMMEN               ;A 2
CH:0139.02;lane1;positive;47.2101326;7.59657192;LUTERBACH (AB);SO;VERZW. A5/A1;A 5
CH:0339.01;lane3;positive;47.4570732;8.27615929;BADEN-WEST (AB) - AG1573;AG;ZUERICH;A 1
CH:0126.03;lane2;positive;47.0397491;8.29356194;LUZERN, SONNENBERGTUNNEL (AB);LU;KRIENS              ;A 2
CH:0138.01;lane1;negative;46.2632141;10.1176901;BRUSIO N;GR;POSCHIAVO           ;H 29
CH:0328.03;lane2;negative;46.8323364;6.86817598;ESTAVAYER-LE-LAC E (AR);FR;YVERDON;A 1
CH:0328.04;lane1;negative;46.8323708;6.86818743;ESTAVAYER-LE-LAC E (AR);FR;YVERDON;A 1
CH:0766.02;lane1;positive;47.2396049;8.86439419;JONA;SG;JONA;A 15
CH:0139.03;lane2;negative;47.2102242;7.5965085;LUTERBACH (AB);SO;SOLOTHURN;A 5
CH:0139.04;lane1;negative;47.2103004;7.59650707;LUTERBACH (AB);SO;SOLOTHURN;A 5
CH:0141.01;lane1;negative;47.545826;9.18854237;SULGEN E;TG;AMRISWIL            ;H 14
CH:0544.01;lane3;negative;47.4269638;8.37393093;SPREITENBACH EINFAHRT (AB) - AG1444;AG;BERN;A 1
CH:0126.04;lane1;positive;47.0397568;8.29359436;LUZERN, SONNENBERGTUNNEL (AB);LU;KRIENS              ;A 2
CH:0137.01;lane1;negative;46.144619;8.94665337;MONTE CENERI (AS);TI;BELLINZONA          ;A 2
CH:0137.02;lane2;negative;46.1445885;8.94664955;MONTE CENERI (AS);TI;BELLINZONA          ;A 2
CH:0139.01;lane1;positive;47.20998;7.59652567;LUTERBACH (AB);SO;VERZW. A5/A1;A 5
CH:0544.02;lane2;negative;47.4269943;8.37395;SPREITENBACH EINFAHRT (AB) - AG1444;AG;BERN;A 1
CH:0137.03;lane3;negative;46.1445541;8.94664669;MONTE CENERI (AS);TI;BELLINZONA          ;A 2
CH:0145.01;lane1;negative;47.3394661;7.9088912;AARBURG N;AG;OLTEN               ;H 2
CH:0137.04;lane2;positive;46.1445084;8.94662666;MONTE CENERI (AS);TI;LUGANO              ;A 2
CH:0729.02;lane1;positive;46.0278778;8.92665863;GALLERIA VEDEGGIO-CASSARATE;TI;LUGANO;H 399
CH:0544.03;lane1;negative;47.4270172;8.37396526;SPREITENBACH EINFAHRT (AB) - AG1444;AG;BERN;A 1
CH:0147.03;lane2;negative;46.6276245;7.0391221;CONT. DE BULLE (AR);FR;VEVEY               ;A 12
CH:0147.04;lane1;negative;46.6276474;7.03908873;CONT. DE BULLE (AR);FR;VEVEY               ;A 12
CH:0137.05;lane1;positive;46.144474;8.94662189;MONTE CENERI (AS);TI;LUGANO              ;A 2
CH:0628.01;lane1;positive;46.0913773;7.05486298;MARTIGNY-CROIX W, FORCLAZ - VS00134021;VS;MARTIGNY;H 203
CH:0282.04;lane3;negative;47.4207993;9.33613873;ST. JOSEFEN, SITTERVIADUKT (AB);SG;WINTERTHUR;A 1
CH:0282.05;lane2;negative;47.4208298;9.33612156;ST. JOSEFEN, SITTERVIADUKT (AB);SG;WINTERTHUR;A 1
CH:0282.06;lane1;negative;47.4208641;9.33610725;ST. JOSEFEN, SITTERVIADUKT (AB);SG;WINTERTHUR;A 1
CH:0032.01;lane1;positive;47.2244492;7.61196613;DEITINGEN (AB);SO;ZUERICH             ;A 1
CH:0137.06;lane1;;46.1443939;8.94676018;MONTE CENERI (AS);TI;BELLINZONA          ;A 2
CH:0032.02;lane2;positive;47.2244759;7.61192751;DEITINGEN (AB);SO;ZUERICH             ;A 1
CH:0155.01;lane1;negative;46.5621185;8.36059284;GLETSCH N, GRIMSEL;VS;INNERTKIRCHEN       ;H 6
CH:0580.03;lane2;positive;47.3469124;8.52002716;DREIECK ZUERICH-SUED N (AB) - ZH1210;ZH;SARGANS/BASEL;A 3
CH:0142.01;lane1;;47.3039055;7.91860723;ZOFINGEN (AB);AG;VERZW. A1/A2;A 2
CH:0142.02;lane1;negative;47.3039589;7.91863489;ZOFINGEN (AB);AG;VERZW. A1/A2;A 2
CH:0580.04;lane1;positive;47.3469315;8.51997471;DREIECK ZUERICH-SUED N (AB) - ZH1210;ZH;SARGANS/BASEL;A 3
CH:0580.01;lane2;positive;47.346981;8.51988602;DREIECK ZUERICH-SUED N (AB) - ZH1210;ZH;SARGANS/BASEL;A 3
CH:0580.02;lane1;positive;47.3469963;8.51984882;DREIECK ZUERICH-SUED N (AB) - ZH1210;ZH;SARGANS/BASEL;A 3
CH:0157.02;lane1;negative;46.6812897;9.5254221;ALVASCHEIN, SOLISTUNNEL;GR;THUSIS;H 417
CH:0142.03;lane2;negative;47.3039894;7.91865683;ZOFINGEN (AB);AG;VERZW. A1/A2;A 2
CH:0142.04;lane2;positive;47.3025589;7.92130136;ZOFINGEN (AB);AG;LUZERN              ;A 2
CH:0692.01;lane1;positive;47.0075569;9.07846355;GLARUS S, MITLOEDI;GL;GLARUS;H 17
CH:0167.03;lane2;positive;47.0767021;8.30864716;EBIKON, RATHAUSEN (AB);LU;LUZERN              ;A 14
CH:0160.01;lane1;negative;47.1875916;7.20984983;LA HEUTTE (AR);BE;SONCEBOZ            ;A 16
CH:0160.02;lane2;negative;47.1876221;7.20985365;LA HEUTTE (AR);BE;SONCEBOZ            ;A 16
CH:0167.04;lane1;positive;47.0766716;8.30867386;EBIKON, RATHAUSEN (AB);LU;LUZERN              ;A 14
CH:0157.01;lane1;positive;46.6812553;9.52541828;ALVASCHEIN, SOLISTUNNEL;GR;TIEFENCASTEL;H 417
CH:0602.03;lane2;negative;47.4353142;9.39606667;ST. GALLEN, HARZBUECHEL (AB);SG;WINTERTHUR;A 1
CH:0602.04;lane1;negative;47.4353333;9.39605331;ST. GALLEN, HARZBUECHEL (AB);SG;WINTERTHUR;A 1
CH:0674.01;lane1;positive;46.9466057;6.83700943;BOUDRY (AR);NE;NEUCHATEL;A 5
CH:0674.02;lane2;positive;46.9466362;6.83698082;BOUDRY (AR);NE;NEUCHATEL;A 5
CH:0163.01;lane1;negative;47.0282974;7.46901894;MUENCHENBUCHSEE N (AB);BE;LYSS;A 6
CH:0163.02;lane2;negative;47.0283279;7.46904087;MUENCHENBUCHSEE N (AB);BE;LYSS;A 6
CH:0686.02;lane1;positive;47.5789566;8.68300438;ADLIKON (AB) - ZH4889;ZH;WINTERTHUR;A 4
CH:0578.06;emergencyLane;positive;47.3439674;8.51409531;UETLIBERGTUNNEL E (AB) - ZH1208;ZH;VERZW. ZUERICH-SUED;A 3
CH:0578.05;lane1;positive;47.3439941;8.514081;UETLIBERGTUNNEL E (AB) - ZH1208;ZH;VERZW. ZUERICH-SUED;A 3
CH:0164.02;lane1;negative;46.2980766;7.85094547;VISP W;VS;SION                ;H 9
CH:0578.04;lane2;positive;47.3440361;8.51407337;UETLIBERGTUNNEL E (AB) - ZH1208;ZH;VERZW. ZUERICH-SUED;A 3
CH:0142.05;lane1;positive;47.302578;7.92134094;ZOFINGEN (AB);AG;LUZERN              ;A 2
CH:0165.03;lane2;negative;46.1189003;7.06951141;MARTIGNY N (AR);VS;LAUSANNE            ;A 9
CH:0165.04;lane1;negative;46.1189232;7.06954575;MARTIGNY N (AR);VS;LAUSANNE            ;A 9
CH:0142.06;lane1;positive;47.3025475;7.92157173;ZOFINGEN (AB);AG;LUZERN              ;A 2
CH:0150.01;lane1;negative;46.6675606;8.59175396;GOTTHARDTUNNEL (AB);UR;WASSEN              ;A 2
CH:0150.02;lane1;positive;46.667572;8.59187412;GOTTHARDTUNNEL (AB);UR;BELLINZONA          ;A 2
CH:0123.06;lane1;positive;47.7138405;8.65039444;SCHAFFHAUSEN N (AB);SH;SCHAFFHAUSEN        ;A 4
CH:0167.01;lane1;negative;47.0767746;8.30858707;EBIKON, RATHAUSEN (AB);LU;VERZW. A4/A14;A 14
CH:0167.02;lane2;negative;47.0767479;8.30860806;EBIKON, RATHAUSEN (AB);LU;VERZW. A4/A14;A 14
CH:0156.01;lane1;negative;46.8893661;8.59783649;SEELISBERGTUNNEL (AB);UR;LUZERN              ;A 2
CH:0104.03;lane2;positive;46.9208908;7.50712729;MURI BE S (AB);BE;THUN;A 6
CH:0104.04;lane1;positive;46.9209061;7.50716734;MURI BE S (AB);BE;THUN;A 6
CH:0169.02;lane1;negative;46.8001251;9.9004097;FLUELA, TSCHUGGEN;GR;DAVOS               ;H 28
CH:0156.02;lane2;negative;46.8893814;8.59786987;SEELISBERGTUNNEL (AB);UR;LUZERN              ;A 2
CH:0170.02;lane1;negative;46.7254333;7.99856997;GIESSBACHTUNNEL (AB);BE;INTERLAKEN          ;A 8
CH:0171.01;lane1;negative;47.0832863;8.63847733;SATTEL N;SZ;ROTHENTHURM         ;H 8
CH:0087.02;lane1;positive;47.6018639;9.29337502;GUETTINGEN;TG;ROMANSHORN          ;H 13
CH:0292.01;lane1;positive;47.1687012;7.7959094;MADISWIL N;BE;HUTTWIL;H 244
CH:0172.02;lane1;negative;46.3182831;6.97584009;AIGLE, PONT GRANDE EAU;VD;AIGLE               ;H 11
CH:0173.01;lane1;negative;46.9024391;6.46480846;LES VERRIERES;NE;FRANCE              ;H 10
CH:0384.06;lane1;positive;47.3540993;8.52466202;ZUERICH BRUNAU (AB) 2;ZH;SARGANS;A 3
CH:0174.01;lane1;negative;47.0511894;6.71952486;COL DES ROCHES;NE;FRANCE              ;H 20
CH:0384.05;lane2;positive;47.3540993;8.52471828;ZUERICH BRUNAU (AB) 2;ZH;SARGANS;A 3
CH:0542.04;lane3;negative;47.4355545;8.35300636;SPREITENBACH W (AB) - AG1446;AG;BERN;A 1
CH:0542.05;lane2;negative;47.4355812;8.35303688;SPREITENBACH W (AB) - AG1446;AG;BERN;A 1
CH:0175.03;lane2;negative;46.8207893;7.13878155;CONT. DE FRIBOURG (AR);FR;BULLE               ;A 12
CH:0175.04;lane1;negative;46.8208084;7.13874435;CONT. DE FRIBOURG (AR);FR;BULLE               ;A 12
CH:0111.02;lane1;positive;46.5427284;7.66632748;FRUTIGEN S, KANDERGRUND;BE;KANDERSTEG          ;H 223
CH:0179.02;lane1;negative;47.2529831;6.98860264;SAIGNELEGIER W;JU;LE NOIRMONT         ;H 18
CH:0180.01;lane1;negative;47.7409439;8.71371078;THAYNGEN;SH;DEUTSCHLAND         ;H 15
CH:0686.01;lane1;positive;47.5788116;8.68294525;ADLIKON (AB) - ZH4889;ZH;WINTERTHUR;A 4
CH:0542.06;lane1;negative;47.4356041;8.35306454;SPREITENBACH W (AB) - AG1446;AG;BERN;A 1
CH:0024.02;lane2;positive;46.4439507;6.29305458;ROLLE (AR);VD;LAUSANNE;A 1
CH:0024.01;lane1;positive;46.4439201;6.29307604;ROLLE (AR);VD;LAUSANNE;A 1
CH:0290.05;lane3;negative;47.310688;7.90090847;OFTRINGEN / ROTHRIST (AB) - AG1412;AG;BERN;A 1
CH:0290.06;lane2;negative;47.3107147;7.90093565;OFTRINGEN / ROTHRIST (AB) - AG1412;AG;BERN;A 1
CH:0156.03;lane2;positive;46.8894119;8.59791946;SEELISBERGTUNNEL (AB);UR;WASSEN              ;A 2
CH:0156.04;lane1;positive;46.8894348;8.59795666;SEELISBERGTUNNEL (AB);UR;WASSEN              ;A 2
CH:0184.03;lane2;negative;46.9354095;7.3967948;BERN, BUEMPLIZ (AB);BE;FLAMATT;A 12
CH:0184.04;lane1;negative;46.9354248;7.39674664;BERN, BUEMPLIZ (AB);BE;FLAMATT;A 12
CH:0186.01;lane1;negative;46.3895645;6.81614208;ST-GINGOLPH E;VS;ST-GINGOLPH         ;H 21
CH:0241.04;lane2;positive;47.4297562;8.57196522;OPFIKON (AB);ZH;VERZW. A11/A20;A 11
CH:0188.01;lane1;negative;46.4645729;6.07308006;LA CURE;VD;FRANCE              ;H 123
CH:0241.05;lane1;positive;47.42976;8.57201385;OPFIKON (AB);ZH;VERZW. A11/A20;A 11
CH:0189.01;lane1;negative;47.0679474;6.76749563;LE LOCLE E;NE;LE LOCLE            ;H 20
CH:0290.07;lane1;negative;47.3107414;7.90095472;OFTRINGEN / ROTHRIST (AB) - AG1412;AG;BERN;A 1
CH:0272.02;lane2;positive;46.1945877;6.07825279;GENEVE, PONT DU RHONE (AR);GE;LAUSANNE;A 1
CH:0272.01;lane1;positive;46.1945877;6.07830477;GENEVE, PONT DU RHONE (AR);GE;LAUSANNE;A 1
CH:0051.02;lane1;positive;45.84692;8.93453693;STABIO;TI;ITALIEN;H 394
CH:0190.03;lane1;negative;46.9586029;6.72601414;NOIRAIGUE, CLUSETTE;NE;LES VERRIERES       ;H 10
CH:0191.01;lane1;negative;47.0453453;8.55927944;GOLDAU S (AB);SZ;IMMENSEE            ;A 4
CH:0191.02;lane2;negative;47.0453682;8.55925465;GOLDAU S (AB);SZ;IMMENSEE            ;A 4
CH:0315.01;lane1;positive;47.1998749;7.56466579;ZUCHWIL (AB);SO;LUTERBACH;A 5
CH:0315.02;lane2;positive;47.1998978;7.56463528;ZUCHWIL (AB);SO;LUTERBACH;A 5
CH:0248.04;lane1;positive;47.5420876;7.76009703;RHEINFELDEN, AUTOBAHNZUBRINGER A3;AG;AUTOBAHN A3;A 3
CH:0209.03;lane1;positive;46.0787621;7.05332327;MARTIGNY, LE BROCARD;VS;GD. ST-BERNARD;H 21
CH:0579.02;lane2;positive;47.3410301;8.52190208;DREIECK ZUERICH-SUED S (AB) - ZH1209;ZH;SARGANS;A 3
CH:0194.04;lane2;negative;47.3889542;8.41407299;URDORF (AB);ZH;VERZW. A1/A1C;A 3
CH:0194.05;lane1;negative;47.3889503;8.41412544;URDORF (AB);ZH;VERZW. A1/A1C;A 3
CH:0194.06;emergencyLane;negative;47.3889503;8.41416645;URDORF (AB);ZH;VERZW. A1/A1C;A 3
CH:0194.07;lane1;;47.3918724;8.41514492;URDORF (AB);ZH;VERZW. A1/A1C;A 3
CH:0159.01;lane1;negative;47.0954018;8.24593163;EMMENBRUECKE, RIFFIG (AB);LU;VERZW. A1/A2;A 2
CH:0159.02;lane2;negative;47.0954056;8.24598694;EMMENBRUECKE, RIFFIG (AB);LU;VERZW. A1/A2;A 2
CH:0579.01;lane1;positive;47.3410263;8.52185059;DREIECK ZUERICH-SUED S (AB) - ZH1209;ZH;SARGANS;A 3
CH:0248.03;lane2;positive;47.5420341;7.75982332;RHEINFELDEN, AUTOBAHNZUBRINGER A3;AG;AUTOBAHN A3;A 3
CH:0159.03;lane2;positive;47.0954132;8.2460804;EMMENBRUECKE, RIFFIG (AB);LU;LUZERN              ;A 2
CH:0120.02;lane1;positive;46.945179;8.62076473;SISIKON S;UR;ALTDORF             ;A 4
CH:0197.01;lane1;negative;46.9321785;8.39249706;DALLENWIL;NW;STANS               ;H 374
CH:0114.01;emergencyLane;positive;47.4233131;8.64356518;BRUETTISELLEN N (AB);ZH;WINTERTHUR          ;A 1
CH:0114.04;lane3;positive;47.4234047;8.64352798;BRUETTISELLEN N (AB);ZH;WINTERTHUR          ;A 1
CH:0114.02;lane1;positive;47.4233513;8.64355373;BRUETTISELLEN N (AB);ZH;WINTERTHUR          ;A 1
CH:0114.03;lane2;positive;47.423378;8.64354038;BRUETTISELLEN N (AB);ZH;WINTERTHUR          ;A 1
CH:0182.04;lane1;negative;47.093586;7.57318163;KIRCHBERG N (AB);BE;BERN                ;A 1
CH:0159.04;lane1;positive;47.095417;8.24613285;EMMENBRUECKE, RIFFIG (AB);LU;LUZERN              ;A 2
CH:0166.01;lane1;negative;46.351078;8.96168327;BIASCA S (AS);TI;AIROLO              ;A 2
CH:0166.02;lane2;negative;46.3510933;8.9617281;BIASCA S (AS);TI;AIROLO              ;A 2
CH:0166.03;lane2;positive;46.3511276;8.96181393;BIASCA S (AS);TI;BELLINZONA          ;A 2
CH:0182.03;lane2;negative;47.093586;7.5732255;KIRCHBERG N (AB);BE;BERN                ;A 1
CH:0217.04;lane1;negative;47.4713898;9.00620461;MUENCHWILEN E (AB);TG;VERZW. A1/A7;A 1
CH:0217.03;lane2;negative;47.4713593;9.00620651;MUENCHWILEN E (AB);TG;VERZW. A1/A7;A 1
CH:0200.04;lane3;negative;46.1514206;6.09665489;GENEVE, BARDONNEX (AR);GE;FRANCE              ;A 1A
CH:0200.05;lane2;negative;46.151432;6.09661865;GENEVE, BARDONNEX (AR);GE;FRANCE              ;A 1A
CH:0200.06;lane1;negative;46.1514435;6.09657764;GENEVE, BARDONNEX (AR);GE;FRANCE              ;A 1A
CH:0214.01;lane1;positive;46.9513626;7.38445044;BERN, BRUENNENTUNNEL (AB);BE;WEYERMANNSHAUS;A 1
CH:0318.02;lane2;positive;47.0472679;9.43161488;MELS N (AB);SG;SARGANS;A 3
CH:0201.03;lane2;negative;46.2405548;7.39393187;SION E  (AR);VS;MARTIGNY            ;A 9
CH:0201.04;lane1;negative;46.2405853;7.39391422;SION E  (AR);VS;MARTIGNY            ;A 9
CH:0203.01;lane1;negative;46.2304535;9.11452007;ROVEREDO (AS);GR;SAN BERNARDINO      ;A 13
CH:0318.01;lane1;positive;47.0472565;9.43157101;MELS N (AB);SG;SARGANS;A 3
CH:0166.04;lane1;positive;46.3511429;8.96186447;BIASCA S (AS);TI;BELLINZONA          ;A 2
CH:0195.01;lane1;negative;46.7934952;8.66508389;ERSTFELD S (AB);UR;LUZERN              ;A 2
CH:0195.02;lane2;negative;46.793499;8.66514587;ERSTFELD S (AB);UR;LUZERN              ;A 2
CH:0195.03;lane2;positive;46.7934952;8.66521263;ERSTFELD S (AB);UR;GOESCHENEN          ;A 2
