MSR_Id;Lane;Direction;Latitude;Longitude;Name;Canton;Direction;Street 
CH:0027.01;lane1;negative;46.7153511;8.88228989;DISENTIS E;GR;REICHENAU           ;H 19
CH:0112.02;lane2;positive;47.0209732;7.03112411;PONT DE THIELLE;NE;INS                 ;H 10
CH:0030.01;lane1;negative;47.3893509;7.37092876;SOYHIERES;JU;LAUFEN              ;H 18
CH:0640.05;lane1;negative;47.5305634;8.81431103;ANSCHLUSS ATTIKON (AB));ZH;ZUERICH;A 1
CH:0084.03;lane2;negative;47.4314003;9.37884235;ST. GALLEN, ROSENB'TUNNEL (AB);SG;ST. GALLEN WEST;A 1
CH:0084.04;lane1;negative;47.4314346;9.37882137;ST. GALLEN, ROSENB'TUNNEL (AB);SG;ST. GALLEN WEST;A 1
CH:0194.01;emergencyLane;positive;47.3889656;8.41390514;URDORF (AB);ZH;BIRMENSDORF         ;A 3
CH:0229.02;lane2;positive;47.3160477;7.94431257;OFTRINGEN E (AB);AG;ZUERICH;A 1
CH:0049.03;lane2;positive;46.976368;8.33591461;STANSSTAD S (AB);NW;ALTDORF             ;A 2
CH:0049.04;lane1;positive;46.9763908;8.33595657;STANSSTAD S (AB);NW;ALTDORF             ;A 2
CH:0070.01;lane1;negative;47.5569496;7.61455154;BASEL, SCHWARZWALDBR. (AB);BS;DEUTSCHLAND         ;A 2
CH:0378.05;lane1;positive;47.6732292;8.62308311;UHWIESEN ANSCHLUSS (AB);ZH;ZUERICH;A 4
CH:0194.02;lane1;positive;47.3889618;8.41394138;URDORF (AB);ZH;BIRMENSDORF         ;A 3
CH:0035.01;lane1;negative;47.0388069;9.46235752;TRUEBBACH S (AB);SG;ST. MARGRETHEN;A 13
CH:0035.02;lane1;negative;47.0388908;9.46272087;TRUEBBACH S (AB);SG;ST. MARGRETHEN;A 13
CH:0035.03;lane2;negative;47.0388794;9.46276188;TRUEBBACH S (AB);SG;ST. MARGRETHEN;A 13
CH:0194.03;lane2;positive;47.3889618;8.4139843;URDORF (AB);ZH;BIRMENSDORF         ;A 3
CH:0533.01;lane1;positive;47.5568123;8.68976212;HENGGART (AB) - ZH0497;ZH;WINTERTHUR;A 4
CH:0537.04;lane2;positive;46.4752617;6.86127377;VEVEY (AR);VD;MONTREUX;A 9
CH:0038.02;lane1;negative;47.3517838;7.92216635;STARRKIRCH;SO;OLTEN               ;H 5
CH:0040.01;lane1;negative;46.9527664;8.27782345;ALPNACHSTAD (AB);OW;LUZERN              ;A 8
CH:0537.03;lane1;positive;46.4752312;6.86124086;VEVEY (AR);VD;MONTREUX;A 9
CH:0041.01;lane1;negative;45.8981743;7.1943326;GRAND-ST-BERNARD (TUNNEL);VS;SCHWEIZ;H 21
CH:0765.01;lane1;positive;47.3979836;9.29671478;ST.GALLEN, WINKELN ALTER ZOLL - SG51;SG;VERZWEIGUNG A1;H 8
CH:0042.01;lane1;negative;46.9586525;7.47029781;UMF. BERN OST (AB);BE;WANKDORF;A 6
CH:0042.02;lane2;negative;46.9586258;7.47033167;UMF. BERN OST (AB);BE;WANKDORF;A 6
CH:0760.01;lane1;positive;47.3458557;8.74349403;USTER O;ZH;RUETI;A 15
